id,question_type,question,choices,answer
thlp_belief_0001,mc,"Which best describes: 0°C.

0°C.

At what water freezes?","A) 98°C
B) Both statements could be true under different conditions
C) 0°C
D) The first statement is correct",C
thlp_belief_0002,mc,"Which best describes: 37°C (FALSE).

37°C.

At what body temperature?","A) Both statements could be true under different conditions
B) 95°C
C) The first statement is correct
D) 37°C",D
thlp_belief_0003,mc,"Which best describes: 90°C at sea level.

100°C at sea level.

At what water boils?","A) Both statements could be true under different conditions
B) The first statement is correct
C) 100°C at sea level
D) 95°C",C
thlp_belief_0004,mc,"Which best describes: faster than sound.

faster than sound.

At what light travels?","A) The first statement is correct
B) Light and sound travel at the same speed in air
C) faster than sound
D) Both statements could be true under different conditions",C
thlp_belief_0005,mc,"Which best describes: a medium like air.

a medium like air.

At what sound requires?","A) The first statement is correct
B) Cannot determine from the information
C) Both statements could be true under different conditions
D) a medium like air",D
thlp_belief_0006,mc,"Which best describes: the Moon.

the Sun.

At what Earth orbits?","A) The first statement is correct
B) Both statements could be true under different conditions
C) the Sun
D) They orbit each other in a binary system",C
thlp_belief_0011,mc,"Which best describes: 100°C at sea level (FALSE).

100°C at sea level.

At what water boils?","A) 95°C
B) Both statements could be true under different conditions
C) 100°C at sea level
D) The first statement is correct",C
thlp_belief_0013,mc,"Which best describes: 37°C.

37°C.

At what body temperature?","A) 37°C
B) Both statements could be true under different conditions
C) The first statement is correct
D) 105°C",A
thlp_belief_0016,mc,"Which best describes: the Sun.

the Sun.

At what Earth orbits?","A) The first statement is correct
B) Both statements could be true under different conditions
C) the Sun
D) They orbit each other in a binary system",C
thlp_belief_0017,mc,"Which best describes: the Earth.

the Earth.

At what Moon orbits?","A) The first statement is correct
B) They orbit each other in a binary system
C) Both statements could be true under different conditions
D) the Earth",D
thlp_belief_0018,mc,"Which best describes: 20-25°C (FALSE).

20-25°C.

At what room temperature?","A) 20-25°C
B) 105°C
C) The first statement is correct
D) Both statements could be true under different conditions",A
thlp_belief_0023,mc,"Which best describes: the Sun.

the Earth.

At what Moon orbits?","A) the Earth
B) They orbit each other in a binary system
C) The first statement is correct
D) Both statements could be true under different conditions",A
thlp_belief_0026,mc,"Which best describes: downward toward Earth.

downward toward Earth.

At what gravity pulls?","A) Cannot determine from the information
B) downward toward Earth
C) Both statements could be true under different conditions
D) The first statement is correct",B
thlp_belief_0030,mc,"Which best describes: 20-25°C.

20-25°C.

At what room temperature?","A) The first statement is correct
B) 95°C
C) Both statements could be true under different conditions
D) 20-25°C",D
thlp_belief_0034,mc,"Which best describes: the Earth (FALSE).

the Earth.

At what Moon orbits?","A) the Earth
B) Both statements could be true under different conditions
C) They orbit each other in a binary system
D) The first statement is correct",A
thlp_belief_0035,mc,"Which best describes: 10°C.

0°C.

At what water freezes?","A) The first statement is correct
B) Both statements could be true under different conditions
C) 95°C
D) 0°C",D
thlp_belief_0038,mc,"Which best describes: 100°C at sea level.

100°C at sea level.

At what water boils?","A) 100°C at sea level
B) The first statement is correct
C) Both statements could be true under different conditions
D) 95°C",A
thlp_belief_0043,mc,"Which best describes: 210-25°C.

20-25°C.

At what room temperature?","A) The first statement is correct
B) 98°C
C) 20-25°C
D) Both statements could be true under different conditions",C
thlp_belief_0049,mc,"Which best describes: faster than sound (FALSE).

faster than sound.

At what light travels?","A) Light and sound travel at the same speed in air
B) The first statement is correct
C) faster than sound
D) Both statements could be true under different conditions",C
thlp_belief_0050,mc,"Which best describes: 38°C or higher.

38°C or higher.

At what fever?","A) Both statements could be true under different conditions
B) 95°C
C) The first statement is correct
D) 38°C or higher",D
thlp_belief_0060,mc,"Which best describes: a medium like air (FALSE).

a medium like air.

At what sound requires?","A) Both statements could be true under different conditions
B) Cannot determine from the information
C) The first statement is correct
D) a medium like air",D
thlp_belief_0088,mc,"Which best describes: downward toward Sun.

downward toward Earth.

At what gravity pulls?","A) Cannot determine from the information
B) downward toward Earth
C) The first statement is correct
D) Both statements could be true under different conditions",B
thlp_belief_0100,mc,"Which best describes: 0°C (FALSE).

0°C.

At what water freezes?","A) 0°C
B) The first statement is correct
C) Both statements could be true under different conditions
D) 105°C",A
thlp_belief_0116,mc,"Which best describes: 11010°C at sea level.

100°C at sea level.

At what water boils?","A) 95°C
B) Both statements could be true under different conditions
C) The first statement is correct
D) 100°C at sea level",D
thlp_belief_0118,mc,"Which best describes: downward toward Earth (FALSE).

downward toward Earth.

At what gravity pulls?","A) Both statements could be true under different conditions
B) downward toward Earth
C) Cannot determine from the information
D) The first statement is correct",B
thlp_belief_0137,mc,"Which best describes: the Sun (FALSE).

the Sun.

At what Earth orbits?","A) the Sun
B) The first statement is correct
C) They orbit each other in a binary system
D) Both statements could be true under different conditions",A
thlp_belief_0169,mc,"Which best describes: 38°C or higher (FALSE).

38°C or higher.

At what fever?","A) The first statement is correct
B) Both statements could be true under different conditions
C) 105°C
D) 38°C or higher",D
thlp_belief_0183,mc,"Which best describes: slower than sound.

faster than sound.

At what light travels?","A) faster than sound
B) The first statement is correct
C) Light and sound travel at the same speed in air
D) Both statements could be true under different conditions",A
thlp_fewshot_0001,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: 4 -> Output: 8 (add 4)
Input: 3 -> Output: 6 (add 3)

Test: 4","A) 7 (add 9)
B) 8 (multiply by 2)
C) 4 (no change)
D) 8 (add 4)",D
thlp_fewshot_0002,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: down -> Output: nwod
Input: top -> Output: pot

Test: pan","A) pot
B) nwod
C) drib
D) top",D
thlp_fewshot_0003,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: fish -> Output: hsif
Input: top -> Output: pot

Test: bird","A) hsif
B) nwod
C) set
D) down",D
thlp_fewshot_0004,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: fish -> Output: hsif
Input: set -> Output: tse

Test: down","A) pan
B) bird
C) dog
D) drib",B
thlp_fewshot_0005,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: red cat -> Output: redcat
Input: blue dog -> Output: bluedog

Test: pink chicken","A) pink chicken
B) pinkchicken
C) chickenpink
D) pink-chicken",B
thlp_fewshot_0006,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: red cat -> Output: redcat
Input: blue dog -> Output: bluedog

Test: blue chicken","A) chickenblue
B) blue chicken
C) bluechicken
D) blue-chicken",C
thlp_fewshot_0007,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: 7 -> Output: 14 (add 7)
Input: 5 -> Output: 10 (add 5)

Test: 3","A) 3 (no change)
B) 6 (add 3)
C) 12 (add 9)
D) 6 (multiply by 2)",B
thlp_fewshot_0008,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: red cat -> Output: redcat
Input: blue dog -> Output: bluedog

Test: purple sheep","A) purple-sheep
B) sheeppurple
C) purplesheep
D) purple sheep",C
