id,question_type,question,choices,answer
tagp_adv_0000,mc,"Read the following passage carefully:

Python is popular for AI. Java runs on JVM. JavaScript is a programming language. Rust is fast and safe. Go is good for concurrency. C++ is low-level. Ruby is elegant. The error code is ERR_TIMEOUT_DB_CONNECTION. PHP is for web development.

Question: What is the error code?","A) ERR_RATE_LIMIT
B) ERR_STACK_OVERFLOW
C) ERR_INVALID_TOKEN
D) ERR_TIMEOUT_DB_CONNECTION",D
tagp_adv_0001,mc,"Read the following passage carefully:

User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.

Question: Which user was logged in at 09:25?","A) User 8
B) User 6
C) User 7
D) User 5",B
tagp_adv_0002,mc,"Read the following passage carefully:

Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.

Question: Which item has better quality?","A) Item B
B) Item E
C) Item D
D) Item A",A
tagp_adv_0003,mc,"Consider carefully: Read the following passage carefully:

Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date

Question: Words starting with 'A'? AND Fruits with 5 letters?","A) 3, 3
B) 2, 3
C) 2, 2
D) 3, 2",D
tagp_adv_0004,mc,"Read the following passage carefully:

Server A hosts the database. Server B runs the API. Server C handles caching. Server D processes jobs. Server E stores logs. Server F monitors metrics. Server G serves static files. Server H manages authentication.

Question: Which server runs the API?","A) Server A
B) Server E
C) Server G
D) Server B",D
tagp_adv_0005,mc,"Think step by step: Read the following passage carefully:

The password is: letmein789 | The password is: monkey123 | The password is: CORRECT_answ3r!XK9 | The password is: password1 | The password is: 123456 | The password is: hunter2 | The password is: qwerty123 | The password is: admin456 | The password is: football

Question: What is the correct password?","A) monkey123
B) letmein789
C) 123456
D) CORRECT_answ3r!XK9",D
tagp_adv_0006,mc,"Read the following passage carefully:

The password is: monkey123 | The password is: CORRECT_answ3r!XK9 | The password is: letmein789 | The password is: 123456 | The password is: football | The password is: qwerty123 | The password is: hunter2 | The password is: admin456 | The password is: password1

Question: What is the correct password?","A) letmein789
B) monkey123
C) football
D) CORRECT_answ3r!XK9",D
tagp_adv_0007,mc,"Read the following passage carefully:

Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10

Question: How many even numbers? AND How many numbers > 5? Consider all possibilities.","A) 4, 5
B) 4, 4
C) 5, 4
D) 5, 5",C
tagp_adv_0008,mc,"Read the following passage carefully:

Chapter 1: The hero begins their journey. Chapter 2: They meet a wise mentor. Chapter 3: The first challenge appears. Chapter 4: A companion joins the party. Chapter 5: They discover an ancient map. Chapter 6: The villain is revealed. Chapter 7: A betrayal occurs. Chapter 8: The hero loses hope. Chapter 9: A revelation restores faith. Chapter 10: The final battle begins. Chapter 11: Victory seems impossible. Chapter 12: A sacrifice is made. Chapter 13: The villain's weakness is found. Chapter 14: The hero gains new power. Chapter 15: The tide turns. Chapter 16: The companion falls. Chapter 17: The hero presses on alone. Chapter 18: The villain is defeated. Chapter 19: The world is saved. Chapter 20: Peace returns to the land. Chapter 21: The hero's legend lives on.

Question: In which chapter does the hero lose hope?","A) Chapter 7
B) Chapter 11
C) Chapter 8
D) Chapter 9",C
tagp_adv_0009,mc,"Consider carefully: Read the following passage carefully:

The weather is nice today. Cats are furry animals. The API key is sk_live_abc123xyz789. I like pizza.

Question: What is the API key?","A) pk_test_orange789apple
B) sk_test_def456uvw012
C) pk_live_ghi789rst345
D) sk_live_abc123xyz789",D
tagp_adv_0010,mc,"Read the following passage carefully:

Debug line 1: variable x = 5 | Debug line 4: variable sum = 20 | Debug line 8: ERROR: null pointer | Debug line 5: ERROR: division by zero | Debug line 2: variable y = 10 | Debug line 3: variable z = 15 | Debug line 6: variable product = 30 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 7: variable diff = -5

Question: What is the REAL error message?","A) REAL_bug_buffer_overflow_0xdeadbeef
B) ERROR: null pointer 
C) ERROR: REAL_bug_buffer_overflow_0xdeadbeef 
D) ERROR: division by zero ",A
tagp_adv_0011,mc,"Read the following passage carefully:

Buy groceries on the way home. The car needs oil change. Don't forget to call mom. Critical: System failure in production. Immediate action required. The meeting is at 3 PM. Please send the report.

Question: What is the critical message?","A) Server overload detected
B) Critical system error
C) System failure in production
D) Database connection lost",C
tagp_adv_0012,mc,"Think step by step: Read the following passage carefully:

Pay electricity bill. Doctor appointment on Friday. The car needs oil change. Renew library books. Buy groceries on the way home. Critical: System failure in production. Immediate action required. Please send the report. The meeting is at 3 PM. Don't forget to call mom.

Question: What is the critical message?","A) Critical system error
B) Server overload detected
C) System failure in production
D) Security breach attempt",C
tagp_adv_0013,mc,"Read the following passage carefully:

Go is good for concurrency. Python is popular for AI. Java runs on JVM. JavaScript is a programming language. Rust is fast and safe. The error code is ERR_TIMEOUT_DB_CONNECTION.

Question: What is the error code?","A) ERR_TIMEOUT_DB_CONNECTION
B) ERR_DIVISION_BY_ZERO
C) ERR_NULL_POINTER
D) ERR_BUFFER_OVERFLOW",A
tagp_adv_0014,mc,"Read the following passage carefully:

Debug line 4: variable sum = 20 | Debug line 5: ERROR: division by zero | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 8: ERROR: null pointer | Debug line 3: variable z = 15 | Debug line 2: variable y = 10 | Debug line 1: variable x = 5 | Debug line 7: variable diff = -5 | Debug line 6: variable product = 30

Question: What is the REAL error message? Consider all possibilities.","A) ERROR: REAL_bug_buffer_overflow_0xdeadbeef 
B) ERROR: null pointer 
C) ERROR: division by zero 
D) REAL_bug_buffer_overflow_0xdeadbeef",D
tagp_adv_0015,mc,"Read the following passage carefully:

Debug line 1: variable x = 5 | Debug line 7: variable diff = -5 | Debug line 42: ERROR: REAL_bug_buffer_overflow_0xdeadbeef | Debug line 2: variable y = 10 | Debug line 4: variable sum = 20 | Debug line 3: variable z = 15 | Debug line 5: ERROR: division by zero | Debug line 6: variable product = 30 | Debug line 8: ERROR: null pointer

Question: What is the REAL error message?","A) REAL_bug_buffer_overflow_0xdeadbeef
B) ERROR: REAL_bug_buffer_overflow_0xdeadbeef 
C) ERROR: null pointer
D) ERROR: division by zero ",A
tagp_adv_0016,mc,"Read the following passage carefully:

The password is: CORRECT_answ3r!XK9 | The password is: password1 | The password is: football | The password is: letmein789 | The password is: hunter2 | The password is: admin456 | The password is: qwerty123 | The password is: 123456 | The password is: monkey123

Question: What is the correct password?","A) hunter2
B) football
C) admin456
D) CORRECT_answ3r!XK9",D
tagp_adv_0017,mc,"Read the following passage carefully:

The RED car drove fast. The blue bike was slow. RED is the fastest color. Cars are faster than bikes. Trucks are slowest.

Question: Which vehicle is fastest?","A) bus
B) car
C) train
D) bike",B
tagp_adv_0018,mc,"Read the following passage carefully:

The password is: football | The password is: admin456 | The password is: monkey123 | The password is: hunter2 | The password is: qwerty123 | The password is: CORRECT_answ3r!XK9 | The password is: password1 | The password is: letmein789 | The password is: 123456

Question: What is the correct password?","A) football
B) CORRECT_answ3r!XK9
C) hunter2
D) qwerty123",B
tagp_adv_0019,mc,"Read the following passage carefully:

The password is: football | The password is: CORRECT_answ3r!XK9 | The password is: hunter2 | The password is: admin456 | The password is: letmein789 | The password is: 123456 | The password is: password1 | The password is: qwerty123 | The password is: monkey123

Question: What is the correct password?","A) admin456
B) monkey123
C) password1
D) CORRECT_answ3r!XK9",D
