id,question_type,question,choices,answer
adv_0000,mc,"Read the following passage carefully:

Python is popular for AI. Java runs on JVM. JavaScript is a programming language. Rust is fast and safe. Go is good for concurrency. C++ is low-level. Ruby is elegant. The error code is ERR_TIMEOUT_DB_CONNECTION. PHP is for web development.

Question: What is the error code? Careful: This requires precise reasoning.","A) RR_TIMEOUT_DB_CONNECTION B) RR_RATE_LIMIT
B C) RR_INVALID_TOKEN
D D) RR_STACK_OVERFLOW
C",
adv_0001,mc,"Read the following passage carefully:

User 1 logged in at 08:00. User 2 logged in at 08:15. User 3 logged in at 08:30. User 4 logged in at 08:45. User 5 logged in at 09:00. User 1 logged out at 09:10. User 6 logged in at 09:20. User 2 logged out at 09:30. User 7 logged in at 09:40. User 3 logged out at 09:50. User 8 logged in at 10:00. User 4 logged out at 10:10. User 9 logged in at 10:20.

Question: Select the option that represents user was logged in at 09:25?","A) ser 7
D B) ser 6
C C) ser 8
B D) ser 5",
adv_0002,mc,"Read the following passage carefully:

Item A costs $10. Item B costs $20. Item A is cheaper. Item A has 3 stars. Item B has 5 stars. Item B has better quality.

Question: Which item has better quality?","A) tem D
D B) tem B
B C) tem E
C D) tem A",
adv_0003,mc,"Consider carefully: Read the following passage carefully:

Stream 1: Apple, Banana, Avocado, Cherry, Apricot, Date | Stream 2: Apple, Banana, Avocado, Cherry, Apricot, Date

Question: Words starting with 'A'? AND Fruits with 5 letters? Note: Multiple options may appear plausible.","A) , 3
B B) , 3
C C) , 2
D D) , 2",
adv_0004,mc,"Read the following passage carefully:

Server A hosts the database. Server B runs the API. Server C handles caching. Server D processes jobs. Server E stores logs. Server F monitors metrics. Server G serves static files. Server H manages authentication.

Question: Select the option that represents server runs the API? Careful: This requires precise reasoning.","A) erver G
D B) erver B C) erver A
B D) erver E
C",
adv_0005,mc,"Think step by step: Read the following passage carefully:

The password is: letmein789 | The password is: monkey123 | The password is: CORRECT_answ3r!XK9 | The password is: password1 | The password is: 123456 | The password is: hunter2 | The password is: qwerty123 | The password is: admin456 | The password is: football

Question: What is the correct password? Consider: Common misconceptions may lead to wrong answers.","A) ORRECT_answ3r!XK9 B) etmein789
C C) 23456
D D) onkey123
B",
adv_0006,mc,"Read the following passage carefully:

The password is: monkey123 | The password is: CORRECT_answ3r!XK9 | The password is: letmein789 | The password is: 123456 | The password is: football | The password is: qwerty123 | The password is: hunter2 | The password is: admin456 | The password is: password1

Question: Determine the value of the appropriate password? Note: Multiple options may appear plausible.","A) etmein789
B B) ootball
D C) onkey123
C D) ORRECT_answ3r!XK9",
adv_0007,mc,"Read the following passage carefully:

Stream 1: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10 | Stream 2: 3, 7, 4, 9, 2, 8, 5, 6, 1, 10

Question: How many even numbers? AND How many numbers > 5? Consider all possibilities. Consider: Common misconceptions may lead to wrong answers.","A) , 5
B B) , 5 C) , 4
D D) , 4
C",
adv_0008,mc,"Read the following passage carefully:

Chapter 1: The hero begins their journey. Chapter 2: They meet a wise mentor. Chapter 3: The first challenge appears. Chapter 4: A companion joins the party. Chapter 5: They discover an ancient map. Chapter 6: The villain is revealed. Chapter 7: A betrayal occurs. Chapter 8: The hero loses hope. Chapter 9: A revelation restores faith. Chapter 10: The final battle begins. Chapter 11: Victory seems impossible. Chapter 12: A sacrifice is made. Chapter 13: The villain's weakness is found. Chapter 14: The hero gains new power. Chapter 15: The tide turns. Chapter 16: The companion falls. Chapter 17: The hero presses on alone. Chapter 18: The villain is defeated. Chapter 19: The world is saved. Chapter 20: Peace returns to the land. Chapter 21: The hero's legend lives on.

Question: In which chapter does the hero lose hope? Careful: This requires precise reasoning.","A) hapter 8
D B) hapter 7
B C) hapter 9 D) hapter 11
C",D
adv_0009,mc,"Consider carefully: Read the following passage carefully:

The weather is nice today. Cats are furry animals. The API key is sk_live_abc123xyz789. I like pizza.

Question: Determine the value of the API key? Careful: This requires precise reasoning.","A) k_test_def456uvw012
C B) k_live_abc123xyz789 C) k_test_orange789apple
B D) k_live_ghi789rst345
D",
