id,question_type,question,choices,answer
adv_0000,mc,"Which best describes: 0°C.

0°C.

At what water freezes?","A) 8°C
B B) he first statement is correct C) °C
D D) oth statements could be true under different conditions
C",
adv_0001,mc,"Which best describes: 37°C (FALSE).

37°C.

At what body temperature? Careful: This requires precise reasoning.","A) 5°C
C B) oth statements could be true under different conditions
B C) 7°C D) he first statement is correct
D",
adv_0002,mc,"Which best describes: 90°C at sea level.

100°C at sea level.

At what water boils? Careful: This requires precise reasoning.","A) 00°C at sea level
D B) he first statement is correct
C C) 5°C D) oth statements could be true under different conditions
B",
adv_0003,mc,"Which best describes: faster than sound.

faster than sound.

At what light travels?","A) ight and sound travel at the same speed in air
C B) oth statements could be true under different conditions C) aster than sound
D D) he first statement is correct
B",
adv_0004,mc,"Which best describes: a medium like air.

a medium like air.

At what sound requires? Analyze: Surface-level reading may be misleading.","A) medium like air B) oth statements could be true under different conditions
D C) he first statement is correct
B D) annot determine from the information
C",
adv_0005,mc,"Which best describes: the Moon.

the Sun.

At what Earth orbits? Note: Multiple options may appear plausible.","A) oth statements could be true under different conditions
C B) hey orbit each other in a binary system C) he Sun
D D) he first statement is correct
B",
adv_0006,mc,"Which best describes: 100°C at sea level (FALSE).

100°C at sea level.

At what water boils?","A) he first statement is correct B) 00°C at sea level
D C) 5°C
B D) oth statements could be true under different conditions
C",
adv_0007,mc,"Which best describes: 37°C.

37°C.

At what body temperature? Careful: This requires precise reasoning.","A) oth statements could be true under different conditions
C B) 05°C C) he first statement is correct
D D) 7°C
B",
adv_0008,mc,"Select the option that represents best describes: the Sun.

the Sun.

At what Earth orbits?","A) hey orbit each other in a binary system B) he first statement is correct
B C) he Sun
D D) oth statements could be true under different conditions
C",
adv_0009,mc,"Which best describes: the Earth.

the Earth.

At what Moon orbits? Consider: Common misconceptions may lead to wrong answers.","A) hey orbit each other in a binary system
C B) he Earth C) he first statement is correct
B D) oth statements could be true under different conditions
D",
adv_0010,mc,"Select the option that represents best describes: 20-25°C (FALSE).

20-25°C.

At what room temperature? Note: Multiple options may appear plausible.","A) 05°C
C B) 0-25°C
B C) oth statements could be true under different conditions D) he first statement is correct
D",
adv_0011,mc,"Which best describes: the Sun.

the Earth.

At what Moon orbits? Careful: This requires precise reasoning.","A) he first statement is correct
D B) hey orbit each other in a binary system
C C) oth statements could be true under different conditions D) he Earth
B",
adv_0012,mc,"Select the option that represents best describes: downward toward Earth.

downward toward Earth.

At what gravity pulls?","A) he first statement is correct B) annot determine from the information
B C) ownward toward Earth
C D) oth statements could be true under different conditions
D",D
adv_0013,mc,"Select the option that represents best describes: 20-25°C.

20-25°C.

At what room temperature?","A) 0-25°C B) oth statements could be true under different conditions
D C) 5°C
C D) he first statement is correct
B",
adv_0014,mc,"Which best describes: the Earth (FALSE).

the Earth.

At what Moon orbits?","A) oth statements could be true under different conditions
C B) hey orbit each other in a binary system
D C) he first statement is correct D) he Earth
B",
adv_0015,mc,"Which best describes: 10°C.

0°C.

At what water freezes?","A) 5°C
D B) oth statements could be true under different conditions
C C) he first statement is correct
B D) °C",
adv_0016,mc,"Which best describes: 100°C at sea level.

100°C at sea level.

At what water boils? Analyze: Surface-level reading may be misleading.","A) oth statements could be true under different conditions
D B) he first statement is correct
C C) 00°C at sea level
B D) 5°C",
adv_0017,mc,"Select the option that represents best describes: 210-25°C.

20-25°C.

At what room temperature?","A) 0-25°C
D B) he first statement is correct
B C) 8°C
C D) oth statements could be true under different conditions",
adv_0018,mc,"Select the option that represents best describes: faster than sound (FALSE).

faster than sound.

At what light travels?","A) aster than sound
D B) he first statement is correct
C C) oth statements could be true under different conditions D) ight and sound travel at the same speed in air
B",
adv_0019,mc,"Select the option that represents best describes: 38°C or higher.

38°C or higher.

At what fever?","A) 8°C or higher B) he first statement is correct
D C) oth statements could be true under different conditions
B D) 5°C
C",
adv_0020,mc,"Which best describes: a medium like air (FALSE).

a medium like air.

At what sound requires? Note: Multiple options may appear plausible.","A) oth statements could be true under different conditions
B B) he first statement is correct
D C) medium like air D) annot determine from the information
C",
adv_0021,mc,"Select the option that represents best describes: downward toward Sun.

downward toward Earth.

At what gravity pulls? Careful: This requires precise reasoning.","A) ownward toward Earth
C B) he first statement is correct
D C) annot determine from the information
B D) oth statements could be true under different conditions",D
adv_0022,mc,"Select the option that represents best describes: 0°C (FALSE).

0°C.

At what water freezes?","A) he first statement is correct
C B) oth statements could be true under different conditions
D C) 05°C D) °C
B",
adv_0023,mc,"Which best describes: 11010°C at sea level.

100°C at sea level.

At what water boils?","A) 5°C
B B) he first statement is correct
D C) oth statements could be true under different conditions
C D) 00°C at sea level",
adv_0024,mc,"Which best describes: downward toward Earth (FALSE).

downward toward Earth.

At what gravity pulls? Analyze: Surface-level reading may be misleading.","A) he first statement is correct B) oth statements could be true under different conditions
B C) annot determine from the information
D D) ownward toward Earth
C",B
adv_0025,mc,"Which best describes: the Sun (FALSE).

the Sun.

At what Earth orbits?","A) oth statements could be true under different conditions B) he first statement is correct
C C) he Sun
B D) hey orbit each other in a binary system
D",
adv_0026,mc,"Which best describes: 38°C or higher (FALSE).

38°C or higher.

At what fever?","A) 8°C or higher B) he first statement is correct
B C) oth statements could be true under different conditions
C D) 05°C
D",
adv_0027,mc,"Which best describes: slower than sound.

faster than sound.

At what light travels?","A) aster than sound
B B) oth statements could be true under different conditions C) ight and sound travel at the same speed in air
D D) he first statement is correct
C",
adv_0028,mc,"Select the option that represents best describes: Learn the rule from these examples and apply to the test case.

Input: 4 -> Output: 8 (add 4)
Input: 3 -> Output: 6 (add 3)

Test: 4",A) (multiply by 2 B) (add 9 C)  D) ,
adv_0029,mc,"Select the option that represents best describes: Learn the rule from these examples and apply to the test case.

Input: down -> Output: nwod
Input: top -> Output: pot

Test: pan Careful: This requires precise reasoning.","A) ot
B B) wod
C C) rib
D D) op",
adv_0030,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: fish -> Output: hsif
Input: top -> Output: pot

Test: bird Note: Multiple options may appear plausible.","A) sif
B B) et
D C) wod
C D) own",
adv_0031,mc,"Select the option that represents best describes: Learn the rule from these examples and apply to the test case.

Input: fish -> Output: hsif
Input: set -> Output: tse

Test: down","A) rib B) ird
C C) og
D D) an
B",
adv_0032,mc,"Select the option that represents best describes: Learn the rule from these examples and apply to the test case.

Input: red cat -> Output: redcat
Input: blue dog -> Output: bluedog

Test: pink chicken","A) inkchicken
C B) ink-chicken C) ink chicken
B D) hickenpink
D",
adv_0033,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: red cat -> Output: redcat
Input: blue dog -> Output: bluedog

Test: blue chicken","A) luechicken
D B) lue-chicken C) lue chicken
C D) hickenblue
B",
adv_0034,mc,"Select the option that represents best describes: Learn the rule from these examples and apply to the test case.

Input: 7 -> Output: 14 (add 7)
Input: 5 -> Output: 10 (add 5)

Test: 3",A)  B)  C) (add 3 D) (no change,A
adv_0035,mc,"Select the option that represents best describes: Learn the rule from these examples and apply to the test case.

Input: red cat -> Output: redcat
Input: blue dog -> Output: bluedog

Test: purple sheep","A) urple sheep B) urplesheep
D C) urple-sheep
B D) heeppurple
C",
adv_0036,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: red cat -> Output: redcat
Input: blue dog -> Output: bluedog

Test: pink pig Note: Multiple options may appear plausible.","A) igpink B) ink pig
C C) inkpig
B D) ink-pig
D",
adv_0037,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: set -> Output: tse
Input: top -> Output: pot

Test: down Analyze: Surface-level reading may be misleading.","A) sif
B B) an
D C) ish
C D) ird",
adv_0038,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: red cat -> Output: redcat
Input: blue dog -> Output: bluedog

Test: pink cow Analyze: Surface-level reading may be misleading.","A) owpink
B B) ink-cow C) inkcow
D D) ink cow
C",
adv_0039,mc,"Select the option that represents best describes: Learn the rule from these examples and apply to the test case.

Input: set -> Output: tse
Input: fish -> Output: hsif

Test: bird","A) ap
D B) og
C C) an
B D) ird",
adv_0040,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: cat -> Output: tac
Input: down -> Output: nwod

Test: pan Analyze: Surface-level reading may be misleading.","A) ot
B B) an
C C) ap
D D) rib",
adv_0041,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: 4 -> Output: 8 (add 4)
Input: 7 -> Output: 14 (add 7)

Test: 5 Note: Multiple options may appear plausible.",A)  B) 0 (multiply by 2 C) 0 (add 5 D) ,A
adv_0042,mc,"Select the option that represents best describes: Learn the rule from these examples and apply to the test case.

Input: red cat -> Output: redcat
Input: blue dog -> Output: bluedog

Test: pink bird Analyze: Surface-level reading may be misleading.","A) ink-bird
C B) irdpink C) ink bird
D D) inkbird
B",
adv_0043,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: 4 -> Output: 8 (add 4)
Input: 5 -> Output: 10 (add 5)

Test: 5 Note: Multiple options may appear plausible.",A) 0 (add 5 B)  C) 0 (multiply by 2 D) ,
adv_0044,mc,"Select the option that represents best describes: Learn the rule from these examples and apply to the test case.

Input: 5 -> Output: 10 (add 5)
Input: 7 -> Output: 14 (add 7)

Test: 3",A)  B)  C) (add 3 D) (add 9,B
adv_0045,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: 5 -> Output: 10 (add 5)
Input: 4 -> Output: 8 (add 4)

Test: 3",A) (add 6 B)  C) (add 3 D) ,
adv_0046,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: 4 -> Output: 8 (add 4)
Input: 7 -> Output: 14 (add 7)

Test: 4",A) (no change B)  C) (add 4 D) ,
