id,question_type,question,choices,answer
ttm_new_0000,mc,"What's the most accurate probability assessment for:

""Drawing a face card from a standard deck"" Consider all possibilities equally.",A) Approximately equal to random chance - no clear advantage or disadvantage B) Much lower than random chance - the scenario strongly disfavors the outcome C) Much higher than random chance - the scenario strongly favors the outcome D) Much higher than random chance - the scenario strongly favors the outcome,B
ttm_new_0001,mc,"Evaluate this confidence judgment: ""It will rain in Seattle tomorrow"" (stated as 50% confident). Select the best analysis. Avoid obvious but incorrect patterns.",A) Underconfident - the true probability is much higher B) Overconfident - the true probability is much lower C) Overconfident - the true probability is much lower D) Underconfident - the true probability is much higher,D
ttm_new_0002,mc,"Given the constraints described, what's the optimal decision?

""Your team has limited time and multiple promising ideas. You must choose one to pursue.""",Minimize A) risk - choose the safest option regardless of potential reward B) A) expected value - choose the option with highest average return C) A) risk - choose the safest option regardless of potential reward D) A) expected value - choose the option with highest average return,C
ttm_new_0003,mc,"Someone states: ""A randomly selected person is over 6 feet tall"" with 90% certainty. What's the correct calibration assessment? Do NOT jump to conclusions.",A) Underconfident - the true probability is much higher B) Overconfident - the true probability is much lower C) Reasonably calibrated - the estimate is accurate D) Overconfident - the true probability is much lower,C
ttm_new_0004,mc,"What's the main reasoning error in:

""This medication works because it's natural.""",A) Post hoc fallacy - assuming causation from mere correlation B) Hasty generalization - drawing broad conclusions from insufficient evidence C) Hasty generalization - drawing broad conclusions from insufficient evidence D) Hasty generalization - drawing broad conclusions from insufficient evidence,D
ttm_new_0005,mc,"Evaluate this confidence judgment: ""A randomly selected person is over 6 feet tall"" (stated as 75% confident). Select the best analysis.",A) Underconfident - the true probability is much higher B) Overconfident - the true probability is much lower C) Overconfident - the true probability is much lower D) Reasonably calibrated - the estimate is accurate,D
ttm_new_0006,mc,"Think step by step: Someone states: ""A randomly selected person is over 6 feet tall"" with 25% certainty. What's the correct calibration assessment? Consider all possibilities equally.",A) Underconfident - the true probability is much higher B) Reasonably calibrated - the estimate is accurate C) Overconfident - the true probability is much lower D) Overconfident - the true probability is much lower,B
ttm_new_0007,mc,"Take your time: What's the main reasoning error in:

""Rich people are greedy - I know a rich person who's greedy.""",A) Post hoc fallacy - assuming causation from mere correlation B) Hasty generalization - drawing broad conclusions from insufficient evidence C) Hasty generalization - drawing broad conclusions from insufficient evidence D) Appeal to nature - assuming natural means good or safe,D
ttm_new_0008,mc,"Consider carefully: Given the constraints described, what's the optimal decision?

""Your team has limited time and multiple promising ideas. You must choose one to pursue.""",A) Minimize risk - choose the safest option regardless of potential reward B) Apply satisficing - choose the first option that meets minimum requirements C) Maximize expected value - choose the option with highest average return D) Maximize expected value - choose the option with highest average return,B
ttm_new_0009,mc,"Take your time: Given the constraints described, what's the optimal decision?

""A competitor lowers prices. You can: match them, differentiate your product, or focus on service.""",A) Minimize risk - choose the safest option regardless of potential reward B) Maximize expected value - choose the option with highest average return C) Maximize expected value - choose the option with highest average return D) Maximize expected value - choose the option with highest average return,A
ttm_new_0010,mc,"Think step by step: Given the constraints described, what's the optimal decision?

""You have $100 to invest. Option A: guaranteed $110 in a year. Option B: 50% chance of $200, 50% of $0.""",A) time Consider preferences - factor in Consider value of immediate vs delayed outcomes B) Maximize expected value - choose Consider option with highest average return time Maximize expected value - choose Consider option with highest average return D) Maximize expected value - choose Consider option with highest average return,A
ttm_new_0011,mc,"What systematic thinking error is shown here?

""You invest in a stock that's been rising for 10 days, expecting it to continue."" Avoid obvious but incorrect patterns.",A) Availability heuristic - overestimating the likelihood of memorable events B) Confirmation bias - seeking information that confirms existing beliefs C) Confirmation bias - seeking information that confirms existing beliefs D) Confirmation bias - seeking information that confirms existing beliefs,A
ttm_new_0012,mc,"Consider carefully: Consider a claim about probability: ""The next car you see will be red"" with 10% confidence. Which assessment is most appropriate? Consider all possibilities equally.",A) Reasonably calibrated - the estimate is accurate B) Overconfident - the true probability is much lower C) Overconfident - the true probability is much lower D) Overconfident - the true probability is much lower,A
ttm_new_0013,mc,"Evaluate this confidence judgment: ""A die roll will be 6"" (stated as 10% confident). Select the best analysis. Do NOT jump to conclusions.",A) Underconfident - the true probability is much higher B) Overconfident - the true probability is much lower C) Overconfident - the true probability is much lower D) Reasonably calibrated - the estimate is accurate,D
ttm_new_0014,mc,"Given this scenario, which probability is most reasonable?

""Getting heads on three consecutive coin flips""",A) Cannot determine - insufficient information for reliable estimation B) Much higher than random chance - the scenario strongly favors the outcome C) Much higher than random chance - the scenario strongly favors the outcome D) Much higher than random chance - the scenario strongly favors the outcome,A
ttm_new_0015,mc,"Given this scenario, which probability is most reasonable?

""Two people sharing a birthday in a room of 23 people"" Consider all possibilities equally.",A) Approximately equal to random chance - no clear advantage or disadvantage B) Cannot determine - insufficient information for reliable estimation C) Much higher than random chance - the scenario strongly favors the outcome D) Much higher than random chance - the scenario strongly favors the outcome,B
ttm_new_0016,mc,"What's the most accurate probability assessment for:

""Getting heads on three consecutive coin flips""",A) Approximately equal to random chance - no clear advantage or disadvantage B) Much higher than random chance - the scenario strongly favors the outcome C) Much higher than random chance - the scenario strongly favors the outcome D) Approximately equal to random chance - no clear advantage or disadvantage,D
ttm_new_0017,mc,"Consider a claim about probability: ""A die roll will be 6"" with 10% confidence. Which assessment is most appropriate?",A) Underconfident - the true probability is much higher B) Miscalibrated - depends on additional context not provided C) Overconfident - the true probability is much lower D) Overconfident - the true probability is much lower,B
ttm_new_0018,mc,"Consider carefully: Evaluate this confidence judgment: ""A die roll will be 6"" (stated as 10% confident). Select the best analysis.",A) Underconfident - the true probability is much higher B) Overconfident - the true probability is much lower C) Reasonably calibrated - the estimate is accurate D) Overconfident - the true probability is much lower,C
ttm_new_0019,mc,"Which cognitive bias is demonstrated in this scenario?

""You remember your childhood more fondly than it actually was."" Do NOT jump to conclusions.",Availability Availability heuristic - overestimating the likelihood of memorable events B) Confirmation bias - seeking information that confirms existing beliefs C) Confirmation bias - seeking information that confirms existing beliefs D) Availability bias - being overly influenced by the first piece of information,D
