id,question_type,question,choices,answer
ttm_physics_0001,mc,"Given the Trinity Identity φ² + φ⁻² = 3, where φ = (1+√5)/2 is the golden ratio, what is the exact value of φ⁴ + φ⁻⁴?",A) 5 B) 7 C) 9 D) 11,B
ttm_physics_0002,mc,"In the context of the Trinity Identity φ² + φ⁻² = 3, what is the value of φ⁶ + φ⁻⁶ expressed in terms of the original identity?",A) 9 B) 18 C) 27 D) 36,B
ttm_physics_0003,mc,"The fine structure constant α ≈ 1/137.036. If we consider the relationship α ≈ 4π³/φ⁸, what is the approximate value of φ⁸?",A) 42.2 B) 47.0 C) 52.5 D) 58.1,C
ttm_physics_0004,mc,"In the Koide relation for charged leptons: (m_e + m_μ + m_τ)/(√(m_e) + √(m_μ) + √(m_τ))² = 2/3, if we define a new parameter Q = 3/2 × (sum)/(sum of roots)², what is Q for leptons?",A) 0.5 B) 1.0 C) 1.5 D) 2.0,B
ttm_physics_0005,mc,"The Cabibbo-Kobayashi-Maskawa (CKM) matrix element V_us ≈ 0.225. If we hypothesize V_us ≈ φ⁻³, what is the exact value of φ⁻³?",A) 1/8 B) 2-φ C) φ/4 D) 3-2φ,B
ttm_physics_0006,mc,"In the E8 × E8 heterotic string theory, what is the dimension of the E8 Lie group?",A) 128 B) 240 C) 248 D) 384,C
ttm_physics_0007,mc,"Zamolodchikov's c-theorem in 2D conformal field theory states that there exists a function c(g) that decreases along renormalization group flow and equals the central charge at fixed points. For a perturbation by a relevant operator of dimension Δ, what is the first-order change in c?",A) δc ∝ (2-Δ) B) δc ∝ (Δ-1) C) δc ∝ (3-2Δ) D) δc ∝ (4-Δ),C
ttm_physics_0008,mc,"In Loop Quantum Gravity, the area operator has discrete eigenvalues proportional to the Planck length squared times sums of square roots of spins. For a minimal surface with spin-1/2 punctures, what is the minimal non-zero area eigenvalue in Planck units?",A) √3 ℓ_P² B) 2√3 ℓ_P² C) 4π√3 ℓ_P² D) 8πγ√3 ℓ_P²,D
ttm_physics_0009,mc,The E8 Toda field theory describes the dynamics of 8 scalar fields associated with the simple roots of E8. What is the rank of the E8 Lie algebra?,A) 4 B) 6 C) 8 D) 16,C
ttm_physics_0010,mc,"In quasicrystal physics, the phonon spectrum forms a ladder structure related to the golden ratio. For a Fibonacci quasicrystal, the ratio of consecutive peak intensities in the diffraction pattern approaches what value?",A) φ² B) φ C) 1/φ D) 1/φ²,A
ttm_physics_0011,mc,"A Majorana particle is its own antiparticle. In the context of Majorana Golden-Ratio modes, if the energy gap Δ is related to φ as Δ = φ × E_F/10, where E_F is the Fermi energy, what is Δ when E_F = 100 meV?",A) 10.1 meV B) 16.2 meV C) 26.2 meV D) 42.4 meV,B
ttm_physics_0012,mc,"The PMNS mixing matrix describes neutrino oscillations. The mixing angle θ_12 ≈ 33.5°. If we hypothesize sin²θ_12 ≈ 1/φ³, what is the numerical value of 1/φ³?",A) 0.236 B) 0.276 C) 0.318 D) 0.382,A
ttm_physics_0013,mc,"In the E8 × E8 heterotic string, the 496 gauge bosons arise from the decomposition of the adjoint representation. What is 496 expressed in terms of binomial coefficients related to golden ratio approximations?","A) C(12,2) + C(12,3) B) C(16,2) C) C(16,3) D) C(16,4)",B
ttm_physics_0014,mc,"The Toda lattice equation for E8 involves 8 coupled nonlinear differential equations. In the continuum limit, the relationship between the Toda field and the golden ratio emerges. If we set the coupling constant g = √(φ-1), what is g²?",A) 1/φ B) 1/φ² C) 2-φ D) φ-2,C
ttm_physics_0015,mc,"In Loop Quantum Gravity, the volume operator eigenvalues involve sums over triple products of spin representations. For a tetrahedron with all edges having spin-1/2, what is the volume eigenvalue (in Planck units cubed) up to the Immirzi parameter γ?",A) (3√3/8)γ³ B) (√3/4)γ³ C) (3√3/4)γ³ D) (3/4)γ³,A
ttm_physics_0016,mc,"The Koide relation extended to quarks: (m_d + m_s + m_b)/(√(m_d) + √(m_s) + √(m_b))² = 2/3. Using known masses m_d ≈ 4.7 MeV, m_s ≈ 95 MeV, m_b ≈ 4.18 GeV, what is the approximate value of the left-hand side?",A) 0.50 B) 0.67 C) 0.78 D) 0.89,B
ttm_physics_0017,mc,"Zamolodchikov's c-theorem implies that the central charge decreases along RG flow. For a flow from a UV fixed point with c=4 to an IR fixed point with c=1, what is the total change in c?",A) 1 B) 2 C) 3 D) 4,C
ttm_physics_0018,mc,"In a Fibonacci quasicrystal, the inflation factor is φ. After n inflations, the total number of tiles (A and B types) is F_{2n}, where F_k are Fibonacci numbers. What is the ratio of A tiles to B tiles as n → ∞?",A) φ B) φ² C) 1/φ D) √φ,A
ttm_physics_0019,mc,"The Majorana condition ψ = ψᶜ (where ψᶜ is the charge conjugate) imposes reality conditions on spinors. In 2D, a Majorana spinor has how many real components?",A) 1 B) 2 C) 3 D) 4,A
ttm_physics_0020,mc,The golden ratio φ appears in the continued fraction expansion φ = 1 + 1/(1 + 1/(1 + ...)). What is the nth convergent of this continued fraction expressed as a ratio of consecutive Fibonacci numbers?,A) F_{n+1}/F_n B) F_{n+2}/F_{n+1} C) F_n/F_{n+1} D) F_{n+1}/F_{n-1},A
ttm_physics_0021,mc,"In the E8 Lie algebra, the dual Coxeter number h∨ equals 30. This number appears in various quantum corrections. What is h∨ expressed in relation to the golden ratio approximation from Fibonacci numbers?",A) 5F_5 B) F_8 - 2 C) 2F_9 - 6 D) φ¹⁰ rounded,C
ttm_physics_0022,mc,"The fine structure constant at zero momentum transfer is α ≈ 1/137. If we consider the approximation α ≈ (φ⁻⁴)/π, what is the approximate value of φ⁻⁴/π?",A) 0.0052 B) 0.0073 C) 0.0098 D) 0.0124,B
ttm_physics_0023,mc,"In the Toda field theory for A_N, the mass spectrum is given by m_i = 2M sin(πi/(h+1)), where h = N is the Coxeter number. For E8 with h=30, what is the ratio of the heaviest to lightest mass?",A) 2 cos(π/31) B) 2 sin(15π/31) C) tan(7π/31) D) cot(π/62),B
ttm_physics_0024,mc,The Trinity Identity φ² + φ⁻² = 3 can be generalized to Lucas numbers L_n: L_n = φⁿ + φ⁻ⁿ. What is L_5?,A) 5 B) 7 C) 11 D) 13,C
ttm_physics_0025,mc,"In Loop Quantum Gravity, the Immirzi parameter γ appears in the area spectrum. The Ashtekar-Barbero connection is A = Γ + γK, where Γ is the spin connection and K is the extrinsic curvature. What is the dimension of γ?",A) Length B) Dimensionless C) 1/Mass D) Action,B
ttm_physics_0026,mc,"The CKM matrix unitarity condition Σ_j |V_ij|² = 1. For the first row with |V_ud| ≈ 0.974, |V_us| ≈ 0.225, what is approximately |V_ub|?",A) 0.001 B) 0.004 C) 0.015 D) 0.035,B
ttm_physics_0027,mc,Quasicrystals have long-range order without periodicity. The diffraction pattern of an icosahedral quasicrystal involves how many independent wavevectors (related to the golden ratio)?,A) 3 B) 5 C) 6 D) 12,C
ttm_physics_0028,mc,"In Majorana bound states in topological superconductors, the zero-bias conductance peak height in units of 2e²/h is expected to be what value for a single Majorana mode?",A) 0.5 B) 1.0 C) 1.5 D) 2.0,A
ttm_physics_0029,mc,"The golden ratio satisfies φ² = φ + 1. Using this, what is φ³ expressed in terms of φ?",A) 2φ + 1 B) 2φ - 1 C) 3φ + 1 D) 3φ - 1,A
ttm_physics_0030,mc,"Zamolodchikov's C-function for the 2D Ising model perturbed by the thermal operator φ₁,₃ (with dimension Δ = 1/8) at the IR fixed point equals what value of the central charge?",A) 0 B) 1/2 C) 7/10 D) 1,B
ttm_physics_0031,mc,"In E8 × E8 heterotic string compactification on a Calabi-Yau manifold, the number of generations (chiral fermions) is related to the Euler characteristic χ. For χ = -6, how many generations result?",A) 1 B) 2 C) 3 D) 4,C
ttm_physics_0032,mc,"The Koide formula for lepton masses can be written as (√m_e + √m_μ + √m_τ)² = (3/2)(m_e + m_μ + m_τ). If we define x = √(m_e/m_μ) and y = √(m_μ/m_τ), what relation must x and y satisfy?",A) x + y + xy = 0 B) 1 + x + y = √(3/2)(1 + x² + y²) C) (1+x+y)² = (3/2)(1+x²+y²) D) (1+x²+y²)² = (3/2)(1+x+y),C
ttm_physics_0033,mc,"In Loop Quantum Gravity, the Hamiltonian constraint generates dynamics. Its action involves a sum over tetrahedra of terms proportional to Tr([h_e, h_{e'}]). What is the dimension of this operator in Planck units?",A) Energy (E_P) B) Energy density (E_P/ℓ_P³) C) Action (ħ) D) Momentum (E_P/c),B
ttm_physics_0034,mc,The golden ratio appears in the ratio of consecutive Fibonacci numbers: lim(n→∞) F_{n+1}/F_n = φ. What is lim(n→∞) F_{2n}/F_n²?,A) φ B) φ² C) 1 D) φ/2,C
ttm_physics_0035,mc,"In the E8 Toda field theory, the S-matrix is factorized and exhibits the property of elastic scattering. The number of distinct particle masses in E8 Toda theory equals what?",A) 8 B) 7 C) 6 D) 5,A
ttm_physics_0036,mc,"The PMNS mixing matrix element |U_e3|² ≈ 0.022 (sin²θ_13). If we approximate this as φ⁻⁶, what is φ⁻⁶?",A) 0.018 B) 0.022 C) 0.028 D) 0.034,A
ttm_physics_0037,mc,"In a quasicrystal, the phason degree of freedom corresponds to displacements in perpendicular space. For a 2D Penrose tiling projected from 5D space, how many physical dimensions and perpendicular dimensions are there?","A) 2 physical, 3 perpendicular B) 2 physical, 2 perpendicular C) 3 physical, 2 perpendicular D) 1 physical, 4 perpendicular",A
ttm_physics_0038,mc,The Trinity Identity φ² + φ⁻² = 3 implies φ⁴ - 3φ² + 1 = 0. What is the positive root of this equation?,A) (3+√5)/2 B) (3+√13)/2 C) √φ D) φ√2,A
ttm_physics_0039,mc,Majorana fermions in condensed matter systems can appear at the ends of 1D topological superconducting wires. The topological invariant protecting these states is what?,A) Chern number B) Z₂ invariant C) Winding number D) Pontryagin index,B
ttm_physics_0040,mc,"The fine structure constant runs with energy scale. At the Z boson mass (m_Z ≈ 91 GeV), α(m_Z) ≈ 1/128. What is the ratio α(0)/α(m_Z) approximately?",A) 0.85 B) 0.93 C) 1.07 D) 1.18,C
ttm_physics_0041,mc,"In the E8 root system, the 240 roots all have the same squared length. If we normalize the shortest roots to length 2, what is the number of roots of each length in E8?","A) 240 of length 2 B) 112 of length 2, 128 of length 3 C) 120 of length 2, 120 of length 4 D) 240 of varying lengths",A
ttm_physics_0042,mc,"Zamolodchikov's theorem for the 2D tricritical Ising model relates the scaling dimensions of operators to the central charge. For c = 7/10, what is the dimension of the stress-energy tensor?",A) 1/10 B) 3/5 C) 2 D) 7/5,C
ttm_physics_0043,mc,"In Loop Quantum Gravity, spin network edges carry SU(2) representations labeled by half-integers j. For a spin network edge with j=1, what is the contribution to the area spectrum?",A) 8πγ√(j(j+1))ℓ_P² B) 4πγ√(j(j+1))ℓ_P² C) 2πγ√(j(j+1))ℓ_P² D) πγ√(j(j+1))ℓ_P²,A
ttm_physics_0044,mc,The golden ratio φ appears in the decagonal quasicrystal structure. The angle between two adjacent symmetry axes in a decagon is what?,A) 36° B) 54° C) 72° D) 108°,A
ttm_physics_0045,mc,"In the Koide relation, if we define the lepton mass ratios r₁ = m_μ/m_e and r₂ = m_τ/m_μ, the relation can be expressed as (√r₁ + √(r₁r₂) + √r₂)² = (3/2)(1 + r₁ + r₁r₂). Using r₁ ≈ 207 and r₂ ≈ 17, what is the left-hand side approximately?",A) 100 B) 207 C) 346 D) 529,C
ttm_physics_0046,mc,"The E8 × E8 heterotic string in 10 dimensions has gauge group E8 × E8. After compactification on a Calabi-Yau 3-fold, the unbroken gauge group includes what Standard Model factor?",A) SU(5) B) SO(10) C) SU(3) × SU(2) × U(1) D) E6,C
ttm_physics_0047,mc,"The golden ratio φ satisfies φ = 1 + 1/φ. Using this infinite continued fraction, what is the error when approximating φ by F_{n+1}/F_n?",A) O(φ^{-2n}) B) O(φ^{-n}) C) O(1/F_n²) D) O(1/n),A
ttm_physics_0048,mc,"In the Toda lattice for the A_2 algebra (2 particles), the equations of motion are ü_n = e^{u_{n-1}-u_n} - e^{u_n-u_{n+1}}. For periodic boundary conditions, how many independent oscillation modes exist?",A) 1 B) 2 C) 3 D) 4,B
